locus	type	lnL ratio	P-value
dDocent_Contig_6601:42	dDocent_Contig_6601:42	C	3.03754788628008	0.101
dDocent_Contig_251013:9	dDocent_Contig_251013:9	C	2.24692945328277	0.198
dDocent_Contig_249582:45	dDocent_Contig_249582:45	C	8.32625550510363	0.003
dDocent_Contig_77774:10	dDocent_Contig_77774:10	C	0.747194595338485	0.542
dDocent_Contig_104048:27	dDocent_Contig_104048:27	C	3.89316298162207	0.05
dDocent_Contig_69284:23	dDocent_Contig_69284:23	C	0.45092455793813	0.624
dDocent_Contig_79179:12	dDocent_Contig_79179:12	C	36.6215276271882	0
dDocent_Contig_72447:27	dDocent_Contig_72447:27	C	3.50437288159721	0.07
dDocent_Contig_64214:62	dDocent_Contig_64214:62	C	3.11760393048202	0.073
dDocent_Contig_72728:60	dDocent_Contig_72728:60	C	4.24262462337876	0.03
dDocent_Contig_62403:13	dDocent_Contig_62403:13	C	2.98494705822927	0.125
dDocent_Contig_19875:36	dDocent_Contig_19875:36	C	3.30612146534662	0.076
dDocent_Contig_147977:80	dDocent_Contig_147977:80	C	3.68459885592056	0.041
dDocent_Contig_240433:39	dDocent_Contig_240433:39	C	8.31488906227167	0
dDocent_Contig_100903:80	dDocent_Contig_100903:80	C	4.60496809302411	0.017
dDocent_Contig_46965:40	dDocent_Contig_46965:40	C	6.38087621213187	0.006
dDocent_Contig_83716:27	dDocent_Contig_83716:27	C	3.22976294560704	0.075
dDocent_Contig_197761:27	dDocent_Contig_197761:27	C	14.1691817232432	0
dDocent_Contig_132086:32	dDocent_Contig_132086:32	C	3.10793399875911	0.12
dDocent_Contig_59383:7	dDocent_Contig_59383:7	C	4.72073724221842	0.023
dDocent_Contig_40285:19	dDocent_Contig_40285:19	C	3.25914707411167	0.104
dDocent_Contig_129119:29	dDocent_Contig_129119:29	C	22.3211784274681	0
dDocent_Contig_145508:48	dDocent_Contig_145508:48	C	30.9134310163279	0
dDocent_Contig_224625:11	dDocent_Contig_224625:11	C	7.19246851558363	0.002
dDocent_Contig_109636:49	dDocent_Contig_109636:49	C	5.43741996090672	0.016
dDocent_Contig_60078:16	dDocent_Contig_60078:16	C	0.663061206182121	0.54
dDocent_Contig_146623:10	dDocent_Contig_146623:10	C	31.8610765471068	0
dDocent_Contig_72682:7	dDocent_Contig_72682:7	C	4.53238414483133	0.019
dDocent_Contig_62403:21	dDocent_Contig_62403:21	C	4.76102692272238	0.02
dDocent_Contig_58150:26	dDocent_Contig_58150:26	C	1.23745833267516	0.435
dDocent_Contig_255814:45	dDocent_Contig_255814:45	C	0.904578433832697	0.464
dDocent_Contig_10071:33	dDocent_Contig_10071:33	C	4.18453423697615	0.052
dDocent_Contig_32298:39	dDocent_Contig_32298:39	C	1.98036347423337	0.257
dDocent_Contig_1482:54	dDocent_Contig_1482:54	C	2.15530536898844	0.168
dDocent_Contig_87793:10	dDocent_Contig_87793:10	C	2.96377686781018	0.102
dDocent_Contig_237642:48	dDocent_Contig_237642:48	C	3.93583686426605	0.034
dDocent_Contig_61899:25	dDocent_Contig_61899:25	C	1.80671671873783	0.29
dDocent_Contig_107223:55	dDocent_Contig_107223:55	C	0.407003087492839	0.558
dDocent_Contig_57044:22	dDocent_Contig_57044:22	C	7.26329130577673	0.002
dDocent_Contig_104943:22	dDocent_Contig_104943:22	C	2.89569391663834	0.078
dDocent_Contig_258586:7	dDocent_Contig_258586:7	C	7.08401016210524	0.001
dDocent_Contig_56983:19	dDocent_Contig_56983:19	C	3.46180935074004	0.075
dDocent_Contig_236252:23	dDocent_Contig_236252:23	C	0.33520778830642	0.664
dDocent_Contig_18541:7	dDocent_Contig_18541:7	C	1.79969148237183	0.295
dDocent_Contig_146054:29	dDocent_Contig_146054:29	C	5.47146588380056	0.022
dDocent_Contig_133131:24	dDocent_Contig_133131:24	C	2.30836013165333	0.174
dDocent_Contig_147336:10	dDocent_Contig_147336:10	C	19.1645591705669	0
dDocent_Contig_63871:42	dDocent_Contig_63871:42	C	2.89773832408775	0.103
dDocent_Contig_18905:8	dDocent_Contig_18905:8	C	0.71319646729826	0.525
dDocent_Contig_104147:49	dDocent_Contig_104147:49	C	3.39438022792194	0.078
dDocent_Contig_48871:17	dDocent_Contig_48871:17	C	0.689212501047344	0.527
dDocent_Contig_96227:14	dDocent_Contig_96227:14	C	15.6788436472567	0
dDocent_Contig_147121:65	dDocent_Contig_147121:65	C	0.742367834450611	0.578
dDocent_Contig_149592:10	dDocent_Contig_149592:10	C	6.12889996552212	0.005
dDocent_Contig_3476:8	dDocent_Contig_3476:8	C	0.351007199506512	0.673
dDocent_Contig_110660:30	dDocent_Contig_110660:30	C	16.6423522395405	0
dDocent_Contig_61913:24	dDocent_Contig_61913:24	C	1.66072490223265	0.336
dDocent_Contig_187356:48	dDocent_Contig_187356:48	C	10.0372705522122	0
dDocent_Contig_106335:17	dDocent_Contig_106335:17	C	6.33549955643063	0.013
dDocent_Contig_103637:47	dDocent_Contig_103637:47	C	2.45372900817371	0.175
dDocent_Contig_85334:38	dDocent_Contig_85334:38	C	1.13535191260505	0.418
dDocent_Contig_5494:25	dDocent_Contig_5494:25	C	5.96918766772612	0.008
dDocent_Contig_71628:39	dDocent_Contig_71628:39	C	8.08105792668262	0
dDocent_Contig_6601:15	dDocent_Contig_6601:15	C	2.03890306645469	0.276
dDocent_Contig_17115:74	dDocent_Contig_17115:74	C	4.56773104533774	0.012
dDocent_Contig_83698:19	dDocent_Contig_83698:19	C	27.2493670070487	0
dDocent_Contig_1405:13	dDocent_Contig_1405:13	C	12.0775497265071	0
dDocent_Contig_73190:43	dDocent_Contig_73190:43	C	8.70658522402376	0
dDocent_Contig_251013:16	dDocent_Contig_251013:16	C	9.25457816006124	0
dDocent_Contig_136081:31	dDocent_Contig_136081:31	C	4.16480186837688	0.056
dDocent_Contig_85264:38	dDocent_Contig_85264:38	C	4.91914843885894	0.013
dDocent_Contig_23625:9	dDocent_Contig_23625:9	C	9.09845126159597	0.002
dDocent_Contig_9840:28	dDocent_Contig_9840:28	C	9.74915635126821	0.001
dDocent_Contig_87759:34	dDocent_Contig_87759:34	C	7.37582179961018	0.005
dDocent_Contig_1057:13	dDocent_Contig_1057:13	C	2.72023255090589	0.131
dDocent_Contig_23311:61	dDocent_Contig_23311:61	C	12.2657003981735	0
dDocent_Contig_95556:71	dDocent_Contig_95556:71	C	6.72031879755833	0.002
dDocent_Contig_13157:44	dDocent_Contig_13157:44	C	5.89547281643409	0.004
dDocent_Contig_78362:31	dDocent_Contig_78362:31	C	5.17486325086377	0.019
dDocent_Contig_56031:63	dDocent_Contig_56031:63	C	23.0024969533239	0
dDocent_Contig_96873:80	dDocent_Contig_96873:80	C	8.52329180033426	0.001
dDocent_Contig_53432:9	dDocent_Contig_53432:9	C	4.78792051217536	0.009
dDocent_Contig_223624:40	dDocent_Contig_223624:40	C	2.28792322080367	0.187
dDocent_Contig_96403:54	dDocent_Contig_96403:54	C	5.81022071788313	0.018
dDocent_Contig_237427:44	dDocent_Contig_237427:44	C	1.40458660754362	0.354
dDocent_Contig_3243:9	dDocent_Contig_3243:9	C	3.92729208543469	0.053
dDocent_Contig_65224:8	dDocent_Contig_65224:8	C	6.18713153013584	0.003
dDocent_Contig_239353:14	dDocent_Contig_239353:14	C	15.8197316089163	0
dDocent_Contig_57044:35	dDocent_Contig_57044:35	C	8.27784163764015	0.003
dDocent_Contig_68051:61	dDocent_Contig_68051:61	C	27.9676475862221	0
dDocent_Contig_105864:81	dDocent_Contig_105864:81	C	3.30685417908648	0.056
dDocent_Contig_4620:24	dDocent_Contig_4620:24	C	1.990674165604	0.275
dDocent_Contig_260306:60	dDocent_Contig_260306:60	C	4.43559450211355	0.021
dDocent_Contig_251216:79	dDocent_Contig_251216:79	C	4.26338633079905	0.028
dDocent_Contig_237045:41	dDocent_Contig_237045:41	C	3.52398366417754	0.098
dDocent_Contig_103477:38	dDocent_Contig_103477:38	C	20.5802966474586	0
dDocent_Contig_157807:44	dDocent_Contig_157807:44	C	1.55458914048437	0.278
dDocent_Contig_71634:19	dDocent_Contig_71634:19	C	12.1559750145087	0.001
dDocent_Contig_251013:43	dDocent_Contig_251013:43	C	13.7787002729546	0
dDocent_Contig_3103:44	dDocent_Contig_3103:44	C	5.01458715208795	0.013
dDocent_Contig_106208:48	dDocent_Contig_106208:48	C	8.28208041924411	0.002
dDocent_Contig_46586:23	dDocent_Contig_46586:23	C	5.89564820865635	0.009
dDocent_Contig_13464:45	dDocent_Contig_13464:45	C	3.46467623398281	0.071
dDocent_Contig_57827:79	dDocent_Contig_57827:79	C	4.07946008569397	0.049
dDocent_Contig_3547:38	dDocent_Contig_3547:38	C	1.25144159675065	0.384
dDocent_Contig_196266:65	dDocent_Contig_196266:65	C	5.97155194605688	0.006
dDocent_Contig_67402:22	dDocent_Contig_67402:22	C	4.29394256351976	0.037
dDocent_Contig_130570:9	dDocent_Contig_130570:9	C	5.25964497267276	0.027
dDocent_Contig_59601:9	dDocent_Contig_59601:9	C	1.25917150022759	0.354
dDocent_Contig_13715:22	dDocent_Contig_13715:22	C	2.01379915401465	0.222
dDocent_Contig_52461:30	dDocent_Contig_52461:30	C	0.497244649604482	0.58
dDocent_Contig_108221:50	dDocent_Contig_108221:50	C	1.00521609892893	0.403
dDocent_Contig_113375:17	dDocent_Contig_113375:17	C	1.75759462102696	0.321
dDocent_Contig_7169:74	dDocent_Contig_7169:74	C	4.6076527104962	0.038
dDocent_Contig_18486:10	dDocent_Contig_18486:10	C	9.27615087997117	0.005
dDocent_Contig_32274:64	dDocent_Contig_32274:64	C	1.31752279684866	0.312
dDocent_Contig_1882:36	dDocent_Contig_1882:36	C	12.4368053367202	0
dDocent_Contig_192399:37	dDocent_Contig_192399:37	C	7.52265413739462	0.002
dDocent_Contig_96557:43	dDocent_Contig_96557:43	C	1.24299337809281	0.366
dDocent_Contig_61917:9	dDocent_Contig_61917:9	C	0.68144381023307	0.599
dDocent_Contig_152514:8	dDocent_Contig_152514:8	C	12.6989659565439	0
dDocent_Contig_238916:47	dDocent_Contig_238916:47	C	3.65759546410276	0.07
dDocent_Contig_136729:42	dDocent_Contig_136729:42	C	5.01532409134687	0.02
dDocent_Contig_52338:50	dDocent_Contig_52338:50	C	13.5399811026589	0
dDocent_Contig_97204:25	dDocent_Contig_97204:25	C	2.93774090926425	0.109
